NoseX,NoseY,NoseC,LEyeX,LEyeY,LEyeC,REyeX,REyeY,REyeC,LEarX,LEarY,LEarC,REarX,REarY,REarC,LShoulderX,LShoulderY,LShoulderC,RShoulderX,RShoulderY,RShoulderC,LElbowX,LElbowY,LElbowC,RElbowX,RElbowY,RElbowC,LWristX,LWristY,LWristC,RWristX,RWristY,RWristC,LHipX,LHipY,LHipC,RHipX,RHipY,RHipC,LKneeX,LKneeY,LKneeC,RKneeX,RKneeY,RKneeC,LAnkleX,LAnkleY,LAnkleC,RAnkleX,RAnkleY,RAnkleC,UpperNeckX,UpperNeckY,UpperNeckC,HeadTopX,HeadTopY,HeadTopC,LBigToeX,LBigToeY,LBigToeC,LSmallToeX,LSmallToeY,LSmallToeC,LHeelX,LHeelY,LHeelC,RBigToeX,RBigToeY,RBigToeC,RSmallToeX,RSmallToeY,RSmallToeC,RHeelX,RHeelY,RHeelC,nome_video,frame_video,skill_id
0,0,0,0,0,0,0,0,0,0.38953,0.447762,0.201338,0.392545,0.423288,0.149641,0.412486,0.466741,0.529881,0.409369,0.382425,0.61754,0.395606,0.52409,0.552686,0.401738,0.335979,0.627666,0.363515,0.578529,0.67714,0.386483,0.29527,0.452482,0.478322,0.434157,0.31584,0.46759,0.387885,0.303721,0.564063,0.401418,0.255664,0.561003,0.404179,0.286793,0.625322,0.382379,0.328497,0.626871,0.376852,0.404688,0.406316,0.425974,0.536309,0.368062,0.447781,0.336669,0.643713,0.366033,0.171437,0.642172,0.363345,0.176445,0.633001,0.379637,0.214552,0.64832,0.357816,0.209385,0.648311,0.363311,0.226954,0.633003,0.363365,0.302775,flag1,74,fl
0,0,0,0,0,0,0,0,0,0.395618,0.453199,0.20023,0.394088,0.423294,0.13318,0.412477,0.469521,0.567107,0.407857,0.379677,0.615384,0.394075,0.524043,0.694098,0.398668,0.322449,0.641672,0.363471,0.578459,0.766835,0.361949,0.248938,0.461936,0.467605,0.431428,0.270887,0.459934,0.393241,0.328401,0.551817,0.40688,0.209585,0.550291,0.412336,0.293736,0.629889,0.382359,0.371904,0.629903,0.385075,0.437534,0.403273,0.428677,0.407971,0.371123,0.439623,0.265504,0.648303,0.360582,0.175795,0.645213,0.360537,0.186585,0.637575,0.382373,0.225153,0.651379,0.357881,0.21979,0.652865,0.36875,0.205908,0.640624,0.385073,0.263273,flag1,75,fl
0.394091,0.464119,0.0703163,0,0,0,0,0,0,0.398666,0.458669,0.138274,0.394098,0.425958,0.0903699,0.412502,0.46688,0.420697,0.409426,0.387814,0.465222,0.394109,0.521349,0.61127,0.398691,0.333256,0.367227,0.368044,0.573114,0.627653,0.389514,0.303343,0.167233,0.459915,0.417815,0.208328,0.443104,0.387865,0.202377,0.541104,0.404226,0.11083,0.53498,0.406873,0.153352,0.629935,0.382427,0.218735,0.582417,0.38785,0.0574126,0.407846,0.431396,0.397579,0.369602,0.447877,0.211027,0.642211,0.3742,0.125336,0.640653,0.37146,0.13822,0.634527,0.38242,0.152362,0,0,0,0,0,0,0,0,0,flag1,76,fl
0,0,0,0,0,0,0,0,0,0.39718,0.450502,0.18744,0.395574,0.423316,0.0925569,0.412508,0.4669,0.50477,0.406303,0.379615,0.531167,0.39408,0.524024,0.666645,0.397143,0.316956,0.545881,0.366546,0.573089,0.710237,0.358886,0.248744,0.497797,0.458377,0.420503,0.232609,0.438511,0.382396,0.26661,0.52426,0.406946,0.128768,0.527312,0.404276,0.219217,0.626859,0.385187,0.170529,0.585549,0.387811,0.0777159,0.409364,0.444993,0.357598,0.380296,0.445044,0.212776,0.642205,0.37967,0.10131,0.640627,0.379609,0.104786,0.63298,0.393292,0.127704,0,0,0,0,0,0,0,0,0,flag1,77,fl
0,0,0,0,0,0,0,0,0,0,0,0,0.395632,0.425934,0.0808392,0.412506,0.469502,0.337968,0.407855,0.382357,0.460071,0.395614,0.515908,0.530927,0.39716,0.31698,0.458973,0.371077,0.564995,0.596122,0.358891,0.248759,0.451572,0.452272,0.417781,0.182571,0.433906,0.382434,0.24282,0.536509,0.406881,0.113183,0.531916,0.406914,0.185277,0,0,0,0.625342,0.38787,0.263833,0.409397,0.442331,0.291719,0.381839,0.450508,0.154855,0,0,0,0,0,0,0,0,0,0.651366,0.374205,0.13052,0.648303,0.390579,0.162292,0.634513,0.387813,0.195072,flag1,78,fl
0,0,0,0,0,0,0,0,0,0.398691,0.447786,0.13595,0.397075,0.420535,0.0679064,0.412512,0.464107,0.558923,0.404809,0.371493,0.601002,0.389534,0.526737,0.680011,0.395634,0.311471,0.658135,0.362002,0.575868,0.769191,0.363492,0.248946,0.749501,0.470633,0.423273,0.323147,0.458395,0.382442,0.305511,0.539577,0.409669,0.264155,0.542635,0.409673,0.228258,0.62837,0.379748,0.388284,0.62685,0.390544,0.301846,0.407883,0.431416,0.259112,0.38336,0.434183,0.202789,0.654402,0.366028,0.17477,0.651341,0.36333,0.189601,0.636044,0.379623,0.241681,0.654393,0.379616,0.162849,0.652885,0.393318,0.143517,0.64063,0.390542,0.175773,flag1,79,fl
0,0,0,0,0,0,0,0,0,0.398636,0.445061,0.143785,0.397087,0.415077,0.08787,0.413984,0.458663,0.537487,0.406337,0.374181,0.601322,0.395578,0.515859,0.675737,0.397124,0.314234,0.659575,0.363492,0.575724,0.729997,0.365029,0.251524,0.711905,0.47217,0.423264,0.282536,0.458426,0.382402,0.288609,0.536531,0.406913,0.213381,0.542633,0.406948,0.21822,0.62838,0.382341,0.34476,0.626855,0.390573,0.30594,0.407838,0.426001,0.309981,0.377242,0.431413,0.203676,0.652889,0.360601,0.160501,0.646781,0.360575,0.165552,0.633028,0.382427,0.23262,0.65291,0.376948,0.170111,0.651381,0.390575,0.16509,0.637561,0.393298,0.193843,flag1,80,fl
0,0,0,0,0,0,0,0,0,0.397148,0.445047,0.182792,0.395644,0.41513,0.0771823,0.412493,0.458632,0.573575,0.407831,0.374181,0.619134,0.394091,0.51592,0.669839,0.397159,0.314301,0.681066,0.363466,0.573112,0.722843,0.366521,0.25162,0.661778,0.470682,0.423293,0.276091,0.459944,0.382393,0.306205,0.534989,0.406926,0.187117,0.541102,0.406877,0.211981,0.628376,0.382421,0.297942,0.626859,0.387829,0.271032,0.40785,0.425977,0.319873,0.36807,0.428672,0.21996,0.646766,0.368781,0.143741,0.643686,0.363346,0.155576,0.632986,0.385115,0.21269,0.651332,0.374233,0.144504,0.648319,0.387811,0.152795,0.636043,0.387868,0.186404,flag1,81,fl
0,0,0,0,0,0,0,0,0,0.394074,0.444994,0.169976,0.395588,0.409662,0.084704,0.410946,0.461377,0.572479,0.407828,0.371489,0.657408,0.391005,0.52132,0.625234,0.397129,0.314176,0.675465,0.363446,0.57309,0.671105,0.365017,0.251505,0.687042,0.469128,0.42328,0.251481,0.461457,0.382472,0.328513,0.534992,0.404247,0.177172,0.538042,0.404156,0.241579,0.628385,0.382469,0.254051,0.585543,0.390598,0.061837,0.404809,0.423231,0.355503,0.365,0.426041,0.263644,0.643716,0.376882,0.138161,0.642158,0.368762,0.145088,0.631499,0.387822,0.181553,0,0,0,0,0,0,0,0,0,flag1,82,fl
0,0,0,0,0,0,0,0,0,0.392524,0.44233,0.201447,0.395616,0.409674,0.0657014,0.410947,0.461391,0.612311,0.404806,0.366093,0.644766,0.386443,0.529495,0.71712,0.395636,0.308819,0.6722,0.360405,0.575855,0.712178,0.363448,0.248831,0.736323,0.470631,0.426031,0.298082,0.461468,0.38244,0.347992,0.536529,0.406869,0.241824,0.538052,0.40428,0.257541,0.626881,0.382438,0.336755,0.628364,0.393274,0.314109,0.404821,0.423257,0.335762,0.365003,0.42607,0.241837,0.651346,0.360629,0.17804,0.64524,0.360582,0.181193,0.632997,0.387857,0.219859,0.652869,0.376881,0.214822,0.651344,0.385105,0.220457,0.637578,0.396037,0.200357,flag1,83,fl
0,0,0,0,0,0,0,0,0,0.387952,0.439642,0.196743,0.391037,0.406977,0.0924207,0.410902,0.45328,0.567454,0.403302,0.368749,0.63998,0.391049,0.515909,0.618245,0.395612,0.308794,0.666527,0.363468,0.567673,0.628436,0.363434,0.248809,0.699565,0.459986,0.423217,0.273073,0.458382,0.382434,0.337708,0.530376,0.406982,0.181431,0.531929,0.406921,0.278159,0.625318,0.387814,0.218209,0.585544,0.387871,0.0988607,0.400239,0.420507,0.425465,0.361949,0.426075,0.311274,0.642208,0.37691,0.162689,0.640642,0.371481,0.157463,0.631435,0.398735,0.160348,0,0,0,0,0,0,0.585534,0.382349,0.0549906,flag1,84,fl
0,0,0,0,0,0,0,0,0,0.387948,0.442299,0.134611,0.389502,0.406895,0.118967,0.409432,0.45871,0.546865,0.404791,0.368792,0.63852,0.389495,0.51859,0.572676,0.395601,0.308765,0.660654,0.363489,0.567651,0.572923,0.36194,0.248785,0.66761,0.459952,0.425944,0.246618,0.455355,0.382463,0.31307,0.528862,0.412382,0.153417,0.533465,0.406952,0.290416,0.622282,0.390605,0.203006,0.585534,0.387814,0.0958533,0.400216,0.417816,0.427565,0.360386,0.428701,0.279407,0.642169,0.376899,0.148318,0.639118,0.37145,0.146732,0.63146,0.398725,0.14148,0,0,0,0,0,0,0.584027,0.379649,0.0548938,flag1,85,fl
0,0,0,0,0,0,0,0,0,0.391036,0.436884,0.166986,0.389493,0.406888,0.0899752,0.41088,0.450501,0.579771,0.401746,0.363325,0.623857,0.395568,0.510355,0.643995,0.3941,0.306056,0.657653,0.37112,0.556687,0.728306,0.361951,0.248754,0.67881,0.462996,0.423242,0.30236,0.458383,0.382414,0.335824,0.55335,0.409619,0.194526,0.545695,0.415065,0.269796,0.623794,0.385173,0.280894,0.625318,0.401416,0.309304,0.400257,0.41237,0.365942,0.363456,0.425905,0.285311,0.643713,0.374174,0.16095,0,0,0,0.63147,0.385113,0.199,0.649812,0.374229,0.189493,0.646793,0.387845,0.187716,0.636052,0.395986,0.19564,flag1,86,fl
0,0,0,0,0,0,0,0,0,0.387944,0.431432,0.190647,0.389474,0.406976,0.107325,0.410907,0.450475,0.570523,0.403287,0.366012,0.632878,0.392559,0.513092,0.580192,0.39709,0.314137,0.685926,0.369563,0.55679,0.662399,0.361987,0.248796,0.652822,0.473756,0.428739,0.326787,0.467606,0.38506,0.340698,0.559493,0.415058,0.292209,0.559484,0.409624,0.326172,0.625351,0.395963,0.351826,0.628363,0.398765,0.375511,0.403279,0.409691,0.459913,0.361904,0.428719,0.329864,0.646778,0.379591,0.168254,0.643703,0.374178,0.180879,0.632991,0.387837,0.228821,0.654388,0.371506,0.231437,0.652856,0.385145,0.213531,0.63909,0.393275,0.232181,flag1,87,fl
0.38029,0.436881,0.056736,0.378755,0.428759,0.0542748,0,0,0,0.38651,0.428797,0.162935,0.391018,0.40691,0.122095,0.409444,0.450518,0.541929,0.404815,0.366032,0.644169,0.392537,0.51311,0.554958,0.397113,0.314202,0.691486,0.368065,0.556843,0.628441,0.363499,0.248859,0.60603,0.476768,0.428721,0.332545,0.469139,0.385086,0.345667,0.562533,0.417826,0.324056,0.56405,0.406958,0.355906,0.626856,0.395974,0.437665,0.626835,0.401417,0.439948,0.403283,0.412348,0.491533,0.360374,0.426061,0.328351,0.648291,0.376923,0.189686,0.643701,0.376907,0.216176,0.632995,0.387872,0.278323,0.652874,0.376877,0.272132,0.651356,0.385118,0.224083,0.637564,0.39869,0.247694,flag1,88,fl
0.377234,0.436903,0.0581559,0.37575,0.428768,0.0563428,0,0,0,0.38794,0.434189,0.15806,0.394063,0.407,0.100055,0.409409,0.453199,0.537495,0.404828,0.366051,0.633455,0.387954,0.518658,0.574174,0.397135,0.314278,0.686652,0.361925,0.570355,0.58343,0.365004,0.248944,0.55259,0.476793,0.431423,0.34262,0.470656,0.385128,0.35342,0.567103,0.401447,0.372131,0.560997,0.41507,0.398563,0.628344,0.387819,0.522049,0.626858,0.404288,0.485512,0.404803,0.415084,0.483509,0.358874,0.426073,0.295597,0.646791,0.376916,0.231572,0.643732,0.374193,0.274361,0.632988,0.385089,0.362575,0.65286,0.379624,0.269006,0.652857,0.387857,0.210625,0.636053,0.404165,0.263707,flag1,89,fl
0,0,0,0,0,0,0,0,0,0.386474,0.436854,0.22921,0.387975,0.409681,0.108763,0.409406,0.455968,0.532217,0.406307,0.371497,0.594145,0.387957,0.515897,0.546263,0.398654,0.319702,0.629309,0.361877,0.570363,0.612471,0.384887,0.286994,0.499837,0.470643,0.428678,0.31529,0.461471,0.387794,0.319366,0.554884,0.404202,0.324509,0.550288,0.406871,0.401261,0.626859,0.398715,0.396041,0.628376,0.398734,0.479182,0.400214,0.417772,0.500145,0.360414,0.428723,0.319365,0.648321,0.37423,0.15471,0.645251,0.376895,0.178254,0.634527,0.398709,0.241301,0.654415,0.376891,0.286861,0.65441,0.382456,0.258351,0.639099,0.398686,0.284673,flag1,90,fl
0.381837,0.439604,0.0690228,0,0,0,0,0,0,0.384939,0.434139,0.167434,0.386478,0.406951,0.146221,0.409402,0.45328,0.437424,0.407827,0.376918,0.565353,0.389492,0.510514,0.463352,0.398635,0.319688,0.532582,0.361997,0.564952,0.48631,0.386397,0.289773,0.370838,0.464534,0.420555,0.244229,0.453824,0.385081,0.260153,0.551803,0.404182,0.281804,0.545726,0.409625,0.371231,0.622259,0.40147,0.330026,0.623807,0.401476,0.409205,0.398724,0.409681,0.518343,0.360361,0.428679,0.337721,0.643675,0.379658,0.14203,0.640627,0.379638,0.152203,0.631497,0.404177,0.215527,0.648317,0.376922,0.203089,0.649805,0.385134,0.189911,0.634516,0.401453,0.262174,flag1,91,fl
0,0,0,0.384873,0.431467,0.0525121,0,0,0,0.384918,0.43414,0.103495,0.386423,0.412385,0.0894108,0.409426,0.4451,0.245079,0.407858,0.382318,0.338351,0.392561,0.507711,0.330892,0.398701,0.31978,0.250647,0.363469,0.562243,0.349766,0.387998,0.297898,0.174084,0.447707,0.404175,0.155675,0.432369,0.385073,0.160654,0.545729,0.404162,0.149139,0.54417,0.404185,0.257527,0.626878,0.404088,0.197971,0.625304,0.404252,0.261973,0.400224,0.409624,0.353477,0.360408,0.425908,0.262502,0.640621,0.396008,0.119589,0.637592,0.393301,0.13497,0.631472,0.406916,0.157039,0.643743,0.401407,0.13008,0.642201,0.40962,0.122803,0.632987,0.406888,0.206531,flag1,92,fl
0.386459,0.43413,0.0614084,0.384859,0.426034,0.0583791,0,0,0,0.384893,0.434172,0.104308,0.386416,0.41233,0.0920261,0.409405,0.445025,0.21348,0.407868,0.382436,0.289651,0.394069,0.505016,0.298416,0.400203,0.327923,0.211852,0.365019,0.55952,0.309585,0.38951,0.300656,0.169974,0.446162,0.404166,0.124308,0.427796,0.385147,0.12372,0.493636,0.412369,0.0548678,0.484418,0.404241,0.0946064,0.623783,0.404258,0.108185,0,0,0,0.401735,0.409647,0.332653,0.360372,0.423275,0.275518,0.639127,0.401439,0.0837218,0.640619,0.398747,0.0954884,0,0,0,0,0,0,0,0,0,0,0,0,flag1,93,fl
0.381839,0.434155,0.0800399,0,0,0,0,0,0,0.384895,0.428813,0.222494,0.384929,0.406898,0.166595,0.407887,0.453228,0.53803,0.406326,0.374159,0.605966,0.388007,0.510479,0.576266,0.398717,0.319787,0.621084,0.361983,0.564949,0.543509,0.386469,0.292559,0.634462,0.458414,0.420546,0.303035,0.449228,0.382471,0.345099,0.544185,0.404286,0.236526,0.542647,0.409661,0.38686,0.622293,0.40686,0.296133,0.625337,0.404195,0.400097,0.398681,0.415091,0.543981,0.358886,0.425993,0.394615,0.640643,0.398679,0.130471,0.636039,0.395989,0.139768,0.63147,0.420478,0.206881,0.646774,0.382389,0.237936,0.646794,0.398686,0.217869,0.634541,0.406909,0.255688,flag1,94,fl
0.38336,0.439589,0.0805126,0,0,0,0,0,0,0.384884,0.428772,0.213383,0.384931,0.406907,0.164309,0.409352,0.450581,0.524448,0.406329,0.374202,0.605513,0.388007,0.510414,0.588937,0.398724,0.319819,0.624602,0.361966,0.564983,0.556248,0.386468,0.292578,0.651688,0.461454,0.423256,0.334127,0.453808,0.385084,0.343709,0.545714,0.406929,0.282896,0.544174,0.41777,0.416254,0.626876,0.4043,0.332182,0.629864,0.406938,0.440585,0.398683,0.415078,0.558014,0.35888,0.426016,0.377951,0.643694,0.395984,0.145977,0.640662,0.39058,0.158221,0.636071,0.415075,0.193251,0.649836,0.38514,0.265566,0.649841,0.398725,0.224039,0.642141,0.409623,0.249042,flag1,95,fl
0.384849,0.442354,0.0769538,0,0,0,0,0,0,0.384919,0.428741,0.22977,0.384944,0.406886,0.137026,0.40939,0.450545,0.503236,0.40632,0.376857,0.570819,0.387972,0.510379,0.577,0.398731,0.322431,0.577502,0.361966,0.564934,0.558169,0.386482,0.295094,0.566758,0.459983,0.423236,0.322864,0.449212,0.382492,0.305549,0.545709,0.406923,0.273266,0.544141,0.412399,0.369615,0.626885,0.406942,0.310622,0.629878,0.406912,0.406412,0.398667,0.415054,0.55441,0.360364,0.425958,0.341829,0.643703,0.398702,0.167895,0.640663,0.393292,0.179702,0.634543,0.420526,0.195335,0.651339,0.390537,0.29136,0.649806,0.401433,0.247138,0.640664,0.412344,0.241204,flag1,96,fl
0.383374,0.439553,0.0700788,0,0,0,0,0,0,0.386391,0.428721,0.233469,0.384943,0.406937,0.124215,0.40939,0.450466,0.536828,0.406304,0.371489,0.587573,0.388017,0.507689,0.628,0.398681,0.319702,0.64835,0.361964,0.56223,0.636946,0.386411,0.29239,0.584662,0.463012,0.423256,0.361609,0.453819,0.385093,0.335218,0.547235,0.40696,0.297357,0.54417,0.417789,0.376819,0.625319,0.407002,0.321687,0.628375,0.409623,0.38949,0.39867,0.412384,0.538059,0.360402,0.425966,0.310064,0.642218,0.396019,0.157823,0.63913,0.390586,0.172646,0.633019,0.409631,0.207208,0.649822,0.387842,0.241168,0.649809,0.398727,0.204511,0.639109,0.409603,0.240685,flag1,97,fl
0.384851,0.434166,0.0774068,0,0,0,0,0,0,0.386426,0.428797,0.189391,0.384937,0.40695,0.122527,0.409421,0.447832,0.532985,0.406324,0.374189,0.580903,0.387987,0.507696,0.651893,0.398717,0.319755,0.625679,0.361895,0.562224,0.660107,0.386478,0.292455,0.626617,0.466042,0.423227,0.335653,0.45229,0.382454,0.307615,0.547238,0.406947,0.255306,0.542641,0.415112,0.318106,0.623811,0.409629,0.271104,0.626869,0.409606,0.324788,0.398689,0.412347,0.523183,0.360427,0.426047,0.288284,0.640639,0.398709,0.157254,0.636059,0.395984,0.17016,0.631507,0.41505,0.188344,0.646772,0.387867,0.199044,0.64677,0.401404,0.175952,0.634525,0.406972,0.221501,flag1,98,fl
0.381837,0.434154,0.0644917,0.378782,0.428756,0.0650279,0,0,0,0.38648,0.428805,0.2351,0.386416,0.407005,0.107046,0.409413,0.447859,0.569332,0.404819,0.368787,0.584839,0.387962,0.507753,0.710117,0.398711,0.31971,0.667767,0.360405,0.562284,0.70449,0.386434,0.292359,0.639176,0.467584,0.423259,0.389418,0.456884,0.385081,0.336167,0.545685,0.40962,0.295192,0.542648,0.417836,0.372015,0.625339,0.409645,0.298073,0.628375,0.409636,0.369941,0.398717,0.41507,0.507642,0.363454,0.425938,0.277817,0.642168,0.39601,0.154964,0.639106,0.390603,0.168067,0.633025,0.412363,0.204158,0.6468,0.387813,0.227357,0.648296,0.396025,0.193293,0.637569,0.409613,0.23824,flag1,99,fl
